DateTime,sum,mean,count,hour,minute
2011-12-10 09:00:00,3.843,0.19215,20,9,0
2011-12-10 09:30:00,3.8080000000000003,0.1904,20,9,30
2011-12-10 10:00:00,3.543,0.17715,20,10,0
2011-12-10 10:30:00,3.37,0.1685,20,10,30
2011-12-10 11:00:00,4.103,0.20515,20,11,0
2011-12-10 11:30:00,5.057,0.25285,20,11,30
2011-12-10 12:00:00,5.0260001,0.251300005,20,12,0
2011-12-10 12:30:00,4.763,0.23815,20,12,30
2011-12-10 13:00:00,7.232,0.36160000000000003,20,13,0
2011-12-10 13:30:00,6.656,0.3328,20,13,30
2011-12-10 14:00:00,5.117,0.25585,20,14,0
2011-12-10 14:30:00,8.213,0.41064999999999996,20,14,30
2011-12-10 15:00:00,6.288,0.3144,20,15,0
2011-12-10 15:30:00,6.49,0.3245,20,15,30
2011-12-10 16:00:00,5.626,0.2813,20,16,0
2011-12-10 16:30:00,4.885,0.24425,20,16,30
2011-12-10 17:00:00,5.235,0.26175000000000004,20,17,0
2011-12-10 17:30:00,6.7780000000000005,0.33890000000000003,20,17,30
2011-12-10 18:00:00,8.031,0.40155,20,18,0
2011-12-10 18:30:00,8.047,0.40235000000000004,20,18,30
2011-12-10 19:00:00,6.925,0.34625,20,19,0
2011-12-10 19:30:00,6.4589999,0.322949995,20,19,30
2011-12-10 20:00:00,7.398,0.3699,20,20,0
2011-12-10 20:30:00,6.468,0.3234,20,20,30
2011-12-10 21:00:00,5.5440000000000005,0.2772,20,21,0
2011-12-10 21:30:00,5.547,0.27735,20,21,30
2011-12-10 22:00:00,6.497,0.32484999999999997,20,22,0
2011-12-10 22:30:00,6.111,0.30555,20,22,30
2011-12-10 23:00:00,5.442,0.2721,20,23,0
2011-12-10 23:30:00,5.484,0.2742,20,23,30
2011-12-11 00:00:00,4.358,0.21789999999999998,20,0,0
2011-12-11 00:30:00,8.757,0.43784999999999996,20,0,30
2011-12-11 01:00:00,8.269,0.41345,20,1,0
2011-12-11 01:30:00,6.3790000000000004,0.31895,20,1,30
2011-12-11 02:00:00,5.36,0.268,20,2,0
2011-12-11 02:30:00,5.247,0.26234999999999997,20,2,30
2011-12-11 03:00:00,4.404,0.2202,20,3,0
2011-12-11 03:30:00,4.363000100000001,0.21815000500000004,20,3,30
2011-12-11 04:00:00,3.84,0.192,20,4,0
2011-12-11 04:30:00,3.59,0.1795,20,4,30
2011-12-11 05:00:00,3.452,0.1726,20,5,0
2011-12-11 05:30:00,2.511,0.12555,20,5,30
2011-12-11 06:00:00,3.9049999000000004,0.195249995,20,6,0
2011-12-11 06:30:00,3.7530001,0.187650005,20,6,30
2011-12-11 07:00:00,3.142,0.1571,20,7,0
2011-12-11 07:30:00,2.798,0.1399,20,7,30
2011-12-11 08:00:00,3.546,0.17729999999999999,20,8,0
2011-12-11 08:30:00,3.702,0.1851,20,8,30
2011-12-11 09:00:00,4.232,0.2116,20,9,0
2011-12-11 09:30:00,4.489,0.22444999999999998,20,9,30
2011-12-11 10:00:00,4.58,0.229,20,10,0
2011-12-11 10:30:00,3.746,0.1873,20,10,30
2011-12-11 11:00:00,3.8160000000000003,0.19080000000000003,20,11,0
2011-12-11 11:30:00,4.13,0.2065,20,11,30
2011-12-11 12:00:00,4.763,0.23815,20,12,0
2011-12-11 12:30:00,5.54,0.277,20,12,30
2011-12-11 13:00:00,6.158,0.3079,20,13,0
2011-12-11 13:30:00,5.837,0.29185,20,13,30
2011-12-11 14:00:00,6.5110000999999995,0.325550005,20,14,0
2011-12-11 14:30:00,7.7649999,0.388249995,20,14,30
2011-12-11 15:00:00,8.7110001,0.43555000499999996,20,15,0
2011-12-11 15:30:00,9.793,0.48965,20,15,30
2011-12-11 16:00:00,6.293,0.31465,20,16,0
2011-12-11 16:30:00,7.058,0.3529,20,16,30
2011-12-11 17:00:00,7.3740000000000006,0.3687,20,17,0
2011-12-11 17:30:00,7.847,0.39235000000000003,20,17,30
2011-12-11 18:00:00,7.825,0.39125,20,18,0
2011-12-11 18:30:00,7.8890002,0.39445001,20,18,30
2011-12-11 19:00:00,11.262,0.5631,20,19,0
2011-12-11 19:30:00,9.058,0.45289999999999997,20,19,30
2011-12-11 20:00:00,7.593,0.37965,20,20,0
2011-12-11 20:30:00,6.506,0.32530000000000003,20,20,30
2011-12-11 21:00:00,7.866,0.3933,20,21,0
2011-12-11 21:30:00,7.49,0.3745,20,21,30
2011-12-11 22:00:00,6.035,0.30175,20,22,0
2011-12-11 22:30:00,6.8780001,0.343900005,20,22,30
2011-12-11 23:00:00,5.417,0.27085,20,23,0
2011-12-11 23:30:00,3.811,0.19055,20,23,30
2011-12-12 00:00:00,3.238,0.1619,20,0,0
2011-12-12 00:30:00,7.093,0.35465,20,0,30
2011-12-12 01:00:00,6.979,0.34895,20,1,0
2011-12-12 01:30:00,6.1209999999999996,0.30605,20,1,30
2011-12-12 02:00:00,5.4,0.27,20,2,0
2011-12-12 02:30:00,5.3,0.265,20,2,30
2011-12-12 03:00:00,5.132,0.2566,20,3,0
